codigo;from;to;version;fecha;tipo_relacion;descripcion_relacion;fuente;formato-fuente;link;tipo-red
R306;284;311;Año 1 N° 13;19/10/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/70;;;
R307;284;312;Año 1 N° 13;19/10/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/71;;;
R308;284;313;Año 1 N° 13;19/10/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/72;;;
R309;284;314;Año 1 N° 13;19/10/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/73;;;
R310;284;315;Año 1 N° 14;26/10/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/74;;;
R311;284;316;Año 1 N° 15;02/11/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/75;;;
R312;284;316;Año 1 N° 15;02/11/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/76;;;
R313;284;316;Año 1 N° 15;02/11/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/77;;;
R314;284;316;Año 1 N° 15;02/11/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/78;;;
R315;284;321;Año 1 N° 16;09/11/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/79;;;
R316;284;322;Año 1 N° 17;16/11/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/80;;;
R317;284;323;Año 1 N° 18;23/11/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/81;;;
R318;284;324;Año 1 N° 18;23/11/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/82;;;
R319;284;325;Año 1 N° 19;21/12/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/83;;;
R320;284;326;Año 1 N° 19;21/12/1862;Colaborador;;https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/88971/84;;;
